"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,68222518,1995
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,2266831,1995
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,40638683,1995
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,16229724.999999998,1995
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,81423,1995
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,20299,1995
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,5858111.000000001,1995
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,3471591,1995
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,34132486,1995
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,467270,1995
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,13041625,1995
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,61216,1995
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,3050,1995
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,2842,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,14367.000000000002,1995
"Food residues & wastes; animal fodder",423,"Wine Lees",42307,"Foodstuffs",4,38081,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,26633,1995
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,11896501,1995
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,6811773,1995
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,8190449,1995
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,36432870,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Salt",52501,"Mineral Products",5,1054422,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sulphur",52503,"Mineral Products",5,5563530,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Graphite",52504,"Mineral Products",5,919363,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sand",52505,"Mineral Products",5,993142,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quartz",52506,"Mineral Products",5,476444.99999999994,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Kaolin",52507,"Mineral Products",5,6424183,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Clays",52508,"Mineral Products",5,4568842,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Chalk",52509,"Mineral Products",5,3137,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Calcium Phosphates",52510,"Mineral Products",5,3424,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Barium Sulphate",52511,"Mineral Products",5,290180,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,68141,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Pumice",52513,"Mineral Products",5,2815607,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,240146.00000000003,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Granite",52516,"Mineral Products",5,28251886,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,1704815,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Dolomite",52518,"Mineral Products",5,8869183,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Magnesium Carbonate",52519,"Mineral Products",5,4873655,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gypsum",52520,"Mineral Products",5,1688606,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Limestone",52521,"Mineral Products",5,292468,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quicklime",52522,"Mineral Products",5,44891,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Cement",52523,"Mineral Products",5,139381724,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Asbestos",52524,"Mineral Products",5,30873,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mica",52525,"Mineral Products",5,292854,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Soapstone",52526,"Mineral Products",5,614039,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Natural cryolite, natural chiolite",52527,"Mineral Products",5,4635,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Borax",52528,"Mineral Products",5,32677,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Feldspar",52529,"Mineral Products",5,1873418,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Other Mineral",52530,"Mineral Products",5,17335429,1995
